COUNTRY,ISO,YEAR,RENEWABLE GROWTH TWh,RENEWABLE GROWTH %,CONTINENT
Algeria,DZA,2011,0.5873293280601501,117.52812957763672,AFRICA
Algeria,DZA,2012,0.0471309423446655,4.949092864990234,AFRICA
Algeria,DZA,2013,-0.7921222448348999,-69.30648803710938,AFRICA
Algeria,DZA,2014,0.3403466641902923,99.0595474243164,AFRICA
Algeria,DZA,2015,-0.0902699828147888,-12.598424911499023,AFRICA
Algeria,DZA,2016,0.301783800125122,51.37480545043945,AFRICA
Algeria,DZA,2017,0.6412630677223206,72.29473876953125,AFRICA
Algeria,DZA,2018,0.3904809951782226,26.07944107055664,AFRICA
Algeria,DZA,2019,0.1167840957641601,6.4383625984191895,AFRICA
Algeria,DZA,2020,-0.0986579656600952,-4.465889930725098,AFRICA
Algeria,DZA,2021,-0.1602149009704589,-7.88092041015625,AFRICA
Argentina,ARG,1999,-14.835128784179688,-18.796056747436523,SOUTH AMERICA
Argentina,ARG,2000,21.62248992919922,33.661842346191406,SOUTH AMERICA
Argentina,ARG,2001,22.936851501464844,27.577924728393555,SOUTH AMERICA
Argentina,ARG,2002,-2.430000305175781,-1.6498148441314695,SOUTH AMERICA
Argentina,ARG,2003,-5.275520324707031,-4.461169242858887,SOUTH AMERICA
Argentina,ARG,2004,-10.302902221679688,-9.65719223022461,SOUTH AMERICA
Argentina,ARG,2005,10.345924377441406,12.10736083984375,SOUTH AMERICA
Argentina,ARG,2006,10.600906372070312,11.154329299926758,SOUTH AMERICA
Argentina,ARG,2007,-19.83551788330078,-17.32260513305664,SOUTH AMERICA
Argentina,ARG,2008,-0.2306060791015625,0.2938389778137207,SOUTH AMERICA
Argentina,ARG,2009,8.936042785644531,10.46685028076172,SOUTH AMERICA
Argentina,ARG,2010,2.6143569946289062,13.690126419067385,SOUTH AMERICA
Argentina,ARG,2011,-3.804290771484375,1.5418291091918943,SOUTH AMERICA
Argentina,ARG,2012,-2.8467025756835938,1.0765790939331057,SOUTH AMERICA
Argentina,ARG,2013,11.083160400390623,11.772751808166504,SOUTH AMERICA
Argentina,ARG,2014,0.5427322387695312,3.5880446434021,SOUTH AMERICA
Argentina,ARG,2015,0.5296783447265625,2.411055564880371,SOUTH AMERICA
Argentina,ARG,2016,-7.8706207275390625,-4.241270065307617,SOUTH AMERICA
Argentina,ARG,2017,7.7895050048828125,9.578442573547363,SOUTH AMERICA
Argentina,ARG,2018,3.4787673950195312,1.814591884613037,SOUTH AMERICA
Argentina,ARG,2019,-1.078338623046875,-0.1195907592773437,SOUTH AMERICA
Argentina,ARG,2020,-3.731719970703125,-12.44363784790039,SOUTH AMERICA
Argentina,ARG,2021,0.730926513671875,1.9835591316223145,SOUTH AMERICA
Australia,AUS,1992,0.7132644653320312,1.4967799186706543,AUSTRALIA
Australia,AUS,1993,1.3306503295898438,2.7070045471191406,AUSTRALIA
Australia,AUS,1994,-0.5975990295410156,-1.195991039276123,AUSTRALIA
Australia,AUS,1995,-1.1073532104492188,-2.2807717323303223,AUSTRALIA
Australia,AUS,1996,1.3974037170410156,2.808380126953125,AUSTRALIA
Australia,AUS,1997,0.1302986145019531,0.2363085746765136,AUSTRALIA
Australia,AUS,1998,-0.1430130004882812,-0.3240585327148437,AUSTRALIA
Australia,AUS,1999,1.6860008239746094,3.3426523208618164,AUSTRALIA
Australia,AUS,2000,0.0554161071777343,0.2180218696594238,AUSTRALIA
Australia,AUS,2001,-1.1497650146484375,-1.565837860107422,AUSTRALIA
Australia,AUS,2002,1.8346023559570312,4.005861282348633,AUSTRALIA
Australia,AUS,2003,1.8881568908691408,3.987765312194824,AUSTRALIA
Australia,AUS,2004,2.05303955078125,3.750753402709961,AUSTRALIA
Australia,AUS,2005,4.144966125488281,8.179033279418945,AUSTRALIA
Australia,AUS,2006,1.4304466247558594,4.496884346008301,AUSTRALIA
Australia,AUS,2007,-2.3705596923828125,-2.926176786422729,AUSTRALIA
Australia,AUS,2008,-3.5075416564941406,-4.08148193359375,AUSTRALIA
Australia,AUS,2009,2.78961181640625,7.561123371124268,AUSTRALIA
Australia,AUS,2010,5.895107269287109,12.755287170410156,AUSTRALIA
Australia,AUS,2011,23.58692169189453,36.24897003173828,AUSTRALIA
Australia,AUS,2012,-1.2831039428710938,-1.2986421585083008,AUSTRALIA
Australia,AUS,2013,13.925323486328123,15.625548362731934,AUSTRALIA
Australia,AUS,2014,-7.83837890625,-6.98699951171875,AUSTRALIA
Australia,AUS,2015,7.148658752441406,6.760764122009277,AUSTRALIA
Australia,AUS,2016,14.841789245605469,14.176201820373535,AUSTRALIA
Australia,AUS,2017,-7.434242248535156,-5.892026424407959,AUSTRALIA
Australia,AUS,2018,26.54354858398437,24.68181800842285,AUSTRALIA
Australia,AUS,2019,14.535385131835938,10.99081039428711,AUSTRALIA
Australia,AUS,2020,22.8466796875,15.334260940551758,AUSTRALIA
Australia,AUS,2021,33.55369567871094,19.97811889648437,AUSTRALIA
Austria,AUT,1994,-3.462593078613281,-3.0895888805389404,EUROPE
Austria,AUT,1995,6.145637512207031,5.582475662231445,EUROPE
Austria,AUT,1996,-9.276206970214844,-7.981574535369873,EUROPE
Austria,AUT,1997,6.046577453613281,5.706214904785156,EUROPE
Austria,AUT,1998,3.6255111694335938,3.205883502960205,EUROPE
Austria,AUT,1999,9.715782165527344,8.476448059082031,EUROPE
Austria,AUT,2000,3.206283569335937,2.584636211395264,EUROPE
Austria,AUT,2001,-4.0703887939453125,-2.5314152240753174,EUROPE
